abandon	elhagyott
attend	részt vesz
attended	részt vett
attending	részt vesz
attention	Figyelem
attitude	hozzáállás
attitudes	attitűdök
attorney	ügyvéd
attract	vonz
attracted	vonzott
attraction	vonzerő
attractions	látnivalók
attractive	vonzó
attracts	vonzza
attributed	tulajdonított
attributes	attribútumokat
auction	árverés
audience	közönség
audiences	közönség
audio	hang
august	augusztus
aunt	néni
australia	Ausztrália
australian	ausztrál
austria	Ausztria
Austrian	osztrák
authentic	hiteles
author	szerző
authorities	hatóság
authority	hatóság
authorized	felhatalmazott
authors	szerzői
auto	kocsi
automated	automatizált
automatic	automatikus
automatically	automatikusan
automation	automatizálás
automobile	autó
automotive	autóipari
autonomous	autonóm
autumn	ősz
auxiliary	kiegészítő
availability	elérhetőség
available	elérhető
avenue	sugárút
average	átlagos
aviation	repülés
avoid	elkerül
avoided	elkerülve
avoiding	elkerülve
awake	ébren
award	díj
awarded	díjazott
awards	díjakat
aware	tudatában van
awareness	tudatosság
away	el
axis	tengely
babies	babák
baby	baba
bachelor	agglegény
back	vissza
backed	háttal ellátott
background	háttér
backup	biztonsági mentés
bacteria	baktériumok
bacterial	bakteriális
bad	rossz
badly	rosszul
bag	táska
bags	táskák
baked	sült
baker	pék
baking	sütés
balance	egyensúly
balanced	kiegyensúlyozott
balcony	erkély
ball	labda
balloon	ballon
balls	labdák
Baltic	balti
ban	tilalom
banana	banán
band	Zenekar
bands	zenekarok
Bangladesh	Banglades
banking	banki
bankruptcy	csőd
banks	bankok
banned	kitiltva
banner	transzparens
bar	rúd
barely	alig
bark	ugat
barn	istálló
baron	báró
baroque	barokk
barracks	laktanya
barrel	hordó
barrier	akadály
barriers	akadályokat
bars	bárok
basal	bazális
base	bázis
based	alapján
basement	pince
bases	bázisok
basic	alapvető
basically	alapvetően
basin	mosdó
basis	alapján
basket	kosár
basketball	kosárlabda
bass	basszus
bat	denevér
batch	tétel
bath	fürdőkád
bathroom	fürdőszoba
batman	Denevérember
battalion	zászlóalj
batteries	akkumulátorok
battery	akkumulátor
battle	csata
battles	csaták
bay	öböl
bc	időszámításunk előtt
be	lenni
beach	strand
beaches	strandok
beam	gerenda
beams	gerendák
bean	bab
bear	medve
beard	szakáll
bearing	csapágy
bears	medvék
beast	vadállat
beat	üt
beaten	megverték
beating	verés
beautiful	gyönyörű
beauty	szépség
became	lett
because	mert
become	válik
becomes	válik
becoming	válás
bed	ágy
bedroom	hálószoba
beds	ágyak
bee	méh
beef	marhahús
been	volt
beer	sör
bees	méhek
before	előtt
beg	könyörög
began	kezdődött
begin	kezdődik
beginning	kezdet
begins	elkezdődik
begun	megkezdett
behalf	nevében
behave	viselkedik
behavior	viselkedés
behavioral	viselkedési
behaviors	viselkedések
behaviour	viselkedés
behind	mögött
beijing	Peking
being	lény
beings	lények
Belarus	Fehéroroszország
belgian	belga
belief	hit
beliefs	hiedelmek
believe	hinni
believed	hitte
believes	hisz
believing	hinni
bell	harang
belly	has
belong	tartozik
belonged	tartozott
belonging	tartozó
belongs	tartozik
beloved	szeretett
below	lent
belt	öv
bench	pad
bend	hajlít
beneath	alatt
beneficial	előnyös
benefit	haszon
benefits	előnyöket
Bengal	Bengália
benjamin	Benjámin
bent	hajlított
besides	kívül
best	legjobb
bet	tét
beta	béta
better	jobb
between	között
beyond	túl
bias	Elfogultság
bible	Biblia
biblical	bibliai
bicycle	kerékpár
bid	ajánlatot
big	nagy
bigger	nagyobb
biggest	legnagyobb
bike	bicikli
bilateral	kétoldalú
bill	számla
billboard	hirdetőtábla
billion	milliárd, ezermillió
bills	számlákat
billy	fütykösbot
bin	kuka
binary	bináris
bind	kötni
binding	kötés
biographical	életrajzi
biography	életrajz
biological	biológiai
biology	biológia
bird	madár
birds	madarak
birth	születés
birthday	születésnap
bishop	püspök
bishops	püspökök
bite	harapás
bits	bitek
bitter	keserű
black	fekete
bladder	hólyag
blade	penge
blades	pengék
blame	feddés
blamed	hibáztatták
blanket	takaró
bleeding	vérzés
blend	keverék
blessed	áldott
blew	fújt
blind	vak
block	Blokk
blockchain	blokklánc
blocked	zárolt
blocking	blokkolása
blocks	blokkok
blonde	szőke
blood	vér
bloody	véres
bloom	virágzás
blow	fúj
blowing	fúj
blown	kifulladt
blows	ütéseket
blue	kék
board	tábla
boarding	beszállás
boards	táblák
boat	hajó
boats	csónakok
bodies	testek
body	test
boil	felforraljuk
boiled	főtt
boiling	forró
bold	bátor
bomb	bomba
bombing	bombázás
bombs	bombák
bond	kötvény
bonds	kötvények
bone	csont
bones	csontok
bonus	bónusz
book	könyv
books	könyveket
boom	bumm
boost	lendületet
boots	csizma
border	határ
borders	határok
bore	furat
bored	unott
boring	unalmas
born	született
borough	kerület
borrow	kölcsönkérni
borrowed	kölcsönzött
boss	főnök
both	mindkét
bother	zavar
bottle	üveg
bottles	palackok
bottom	alsó
bought	vásárolt
bound	összekötött
boundaries	határait
boundary	határ
bourgeois	polgári
bow	íj
bowl	tál
box	doboz
boxes	dobozok
boxing	boksz
boy	fiú
boyfriend	fiú barát
boys	fiúk
brain	agy
brains	agyvelő
brake	fék
branch	ág
branches	ágak
brand	márka
branded	márkás
brands	márkák
brass	sárgaréz
brave	bátor
brazil	Brazília
brazilian	brazil
bread	kenyér
break	szünet
breakdown	bontás
breakfast	reggeli
breaking	törés
breaks	szünetek
breast	mell
breath	lehelet
breathe	lélegzik
breathing	lélegző
breed	fajta
breeding	tenyésztés
breeds	fajták
breweries	sörfőzdék
brick	tégla
bride	menyasszony
bridge	híd
bridges	hidak
brief	rövid
briefly	röviden
brigade	brigád
bright	fényes
brilliant	ragyogó
bring	hozza
bringing	hozva
brings	hoz
britain	Britannia
broad	széles
broadcast	adás
broadcasting	műsorszórás
broader	szélesebb
broke	törött
broken	törött
bronze	bronz
bros	tesók
brother	fiú testvér
brothers	testvérek
brought	hozott
brown	barna
browser	böngésző
brush	kefe
Brussels	Brüsszel
brutal	brutális
bubble	buborék
bubbles	buborékok
bucket	vödör
buddhism	buddhizmus
buddhist	buddhista
budget	költségvetés
buffalo	bivaly
bug	bogár
bugs	hibákat
build	épít
building	épület
buildings	épületek
built	épült
bulgaria	Bulgária
bulk	ömlesztett
bull	bika
bullet	golyó
bullets	golyókat
bunch	csokor
burden	teher
bureau	hivatal
burial	temetés
buried	eltemették
burn	éget
burned	égett
burning	égő
burns	égési sérüléseket
burst	robbanás
bury	temetni
bus	busz
buses	buszok
bush	bokor
business	üzleti
businesses	vállalkozásokat
businessman	üzletember
busy	elfoglalt
but	de
butter	vaj
butterfly	pillangó
button	gomb
buttons	gombokat
buy	megvesz
buyer	vevő
buyers	vásárlók
buying	vásárlás
by	által
bypass	kitérő
Byzantine	bizánci
cabin	kabin
cabinet	szekrény
cable	kábel
cables	kábelek
cafe	kávézó
cage	ketrec
cake	torta
cakes	sütemények
calcium	kalcium
calculate	kiszámítja
calculated	számított
calculation	számítás
calculations	számításokat
calendar	naptár
california	Kalifornia
call	hívás
called	hívott
calling	hívás
calls	hívásokat
calm	nyugodt
calories	kalóriát
came	jött
camel	teve
camera	kamera
cameras	kamerák
camp	tábor
campaign	kampány
campaigns	kampányok
camping	kemping
camps	táborok
campus	egyetem
can	tud
canada	Kanada
canadian	kanadai
canal	csatorna
cancel	megszünteti
canceled	törölve
cancelled	törölve
cancer	rák
candidate	jelölt
candidates	jelöltek
candle	gyertya
candles	gyertyák
candy	cukorka
cannabis	kannabisz
cannon	ágyú
cannot	nem tud
canon	kánon
canvas	vászon
canyon	kanyon
cap	sapka
capabilities	képességeit
capability	képesség
capable	képes
capacity	kapacitás
cape	köpeny
capital	főváros
capitalism	kapitalizmus
capitalist	kapitalista
caps	sapkák
capsule	kapszula
captain	kapitány
capture	elfog
captured	elfogták
carbon	szén
card	kártya
cardboard	karton
cardiac	szív-
cardinal	bíboros
cards	kártyákat
care	gondoskodás
career	karrier
careful	óvatos
carefully	gondosan
cargo	szállítmány
caribbean	karibi
carolina	karolina
carpet	szőnyeg
carriage	szállítás
carried	hordták
carrier	hordozó
carriers	szállítók
carries	hordoz
carry	visz
carrying	hordozó
cars	autók
cart	szekér
carter	kocsis
cartoon	rajzfilm
cartridge	patron
carved	faragott
case	ügy
cases	esetek
cash	készpénz
casino	kaszinó
cast	öntvény
casting	öntvény
castle	kastély
casual	alkalmi
cat	macska
catalog	katalógus
catalyst	katalizátor
catch	fogás
catching	fogása
categories	kategóriákat
category	kategória
cathedral	székesegyház
catholic	katolikus
cats	macskák
cattle	marha
caught	elkapták
cause	ok
caused	okozta
causes	okoz
causing	okozó
cavalry	lovasság
cave	barlang
caves	barlangok
cavity	üreg
ceased	megszűnt
ceiling	mennyezet
celebrate	ünnepel
celebrated	ünnepelt
celebration	ünneplés
celebrity	híres ember
cell	sejt
cells	sejteket
cellular	sejtes
celtic	kelta
cemeteries	temetők
cemetery	temető
census	népszámlálás
center	központ
centered	központosított
centers	központok
central	központi
centre	központ
centres	központok
centuries	századokban
century	század
ceo	vezérigazgató
ceramic	kerámiai
cerebral	agyi
ceremonies	szertartások
ceremony	ceremónia
certain	bizonyos
certainly	biztosan
certificate	bizonyítvány
certification	tanúsítvány
certified	igazolt
cervical	nyaki
chain	lánc
chains	láncok
chair	szék
chairman	elnök
chairs	székek
challenge	kihívás
challenged	megtámadta
challenges	kihívásokat
challenging	kihívást jelentő
chamber	kamra
chambers	kamrák
champagne	pezsgő
champion	bajnok
champions	bajnokok
championship	bajnokság
championships	bajnokságok
chance	véletlen
chancellor	kancellár
chances	esélyei
change	változás
changed	megváltozott
changes	változtatások
changing	változó
channel	csatorna
channels	csatornák
chaos	káosz
chapel	kápolna
chapter	fejezet
chapters	fejezeteket
character	karakter
characteristic	jellegzetes
characteristics	jellemzők
characterized	jellemzett
characters	karakterek
charge	díj
charged	töltött
charges	díjak
charging	töltés
charity	adomány
charles	Károly
charm	báj
charming	bájos
chart	diagram
charts	diagramok
chase	üldözés
chasing	üldöz
chassis	alváz
chat	csevegés
cheap	olcsó
cheaper	olcsóbb
check	jelölje be
checked	ellenőrizve
checking	ellenőrzése
checks	ellenőrzi
cheek	arcát
cheese	sajt
chef	séf
chemical	kémiai
chemicals	vegyszerek
chemistry	kémia
chemotherapy	kemoterápia
cherry	cseresznye
chess	sakk
chest	mellkas
chewing	rágás
chicken	csirke
chickens	csirkék
chief	fő
child	gyermek
childhood	gyermekkor
children	gyermekek
china	Kína
chinese	kínai
chip	Forgács
chips	hasábburgonya
chloride	klorid
chocolate	csokoládé
choice	választás
choices	választási lehetőségeket
choir	kórus
cholesterol	koleszterin
choose	választ
choosing	választva
chosen	választott
christ	Krisztus
christian	keresztény
Christianity	kereszténység
Christians	keresztények
christmas	Karácsony
chrome	króm
chronic	krónikus
chuck	tokmány
church	templom
churches	templomok
cigarette	cigaretta
cigarettes	cigaretta
cinema	mozi
circle	kör
circles	körökben
circuit	áramkör
circuits	áramkörök
circular	kör alakú
circulation	keringés
circumstances	körülmények
circus	cirkusz
cited	idézett
cities	városok
citizen	polgár
citizens	állampolgárok
citizenship	polgárság
city	város
civilian	polgári
civilians	civilek
civilization	civilizáció
claim	követelés
claimed	állította
claiming	azt állítva
claims	állítja
clan	klán
clarity	világosság
class	osztály
classes	osztályok
classic	klasszikus
classical	klasszikus
classification	osztályozás
classified	osztályozott
classroom	tanterem
class	osztály
clay	agyag
clean	tiszta
cleaned	tisztítani
cleaner	tisztító
cleaning	tisztítás
clear	egyértelmű
cleared	törölve
clearing	klíring
clearly	tisztán
click	kattintson
client	ügyfél
clients	ügyfelek
cliff	szikla
climate	éghajlat
climb	mászik
climbed	felmászott
climbing	mászó
clinic	klinika
clinical	klinikai
clock	óra
close	Bezárás
closed	zárva
closely	szorosan
closer	közelebb
closest	legközelebb
closet	fülke
closing	záró
closure	bezárás
cloth	szövet
clothes	ruhák
cloud	felhő
clouds	felhők
club	klub
clubs	klubok
cluster	fürt
clusters	klaszterek
coach	távolsági busz
coaches	edzők
coal	szén
coalition	koalíció
coast	tengerpart
coastal	parti
coat	kabát
coated	bevont
coating	bevonat
coconut	kókuszdió
code	kód
codes	kódokat
coding	kódolás
coffee	kávé
cognitive	kognitív
coin	érme
coins	érméket
cold	hideg
collaborated	együttműködött
collaboration	együttműködés
collapse	összeomlás
collapsed	összeesett
collar	gallér
colleague	kolléga
colleagues	kollégák
collect	gyűjt
collected	összegyűjtött
collecting	gyűjtő
collection	Gyűjtemény
collections	gyűjtemények
collective	kollektív
collector	gyűjtő
college	főiskola
colleges	főiskolák
collision	ütközés
colonel	ezredes
colonial	gyarmati
colonies	kolóniák
colony	kolónia
color	szín
colored	színezett
colorful	színes
colors	színek
colour	szín
colours	színek
columbia	Kolumbia
columbus	kolumbusz
column	oszlop
columns	oszlopok
combat	harc
combination	kombináció
combinations	kombinációk
combine	kombájn
combined	kombinált
combines	egyesíti
combining	kombinálása
combustion	égés
come	jön
comedy	komédia
comes	jön
comfort	kényelem
comfortable	kényelmes
comic	komikus
comics	képregények
coming	eljövetel
command	parancs
commanded	parancsolta
commander	parancsnok
commands	parancsokat
commenced	megkezdődött
comment	megjegyzés
comments	Hozzászólások
commerce	kereskedelem
commercial	kereskedelmi
commercially	kereskedelmileg
commission	jutalék
commissioned	megbízott
commissioner	biztos
commit	elkövetni
commitment	elkötelezettség
committed	elkötelezett
committee	bizottság
common	gyakori
commonly	általában
commons	közbirtokosság
commonwealth	Nemzetközösség
communicate	kommunikálni
communication	kommunikáció
communications	kommunikáció
communist	kommunista
community	közösség
compact	kompakt
companies	cégek
companion	társ
company	vállalat
comparable	hasonló
compare	összehasonlítani
compared	ahhoz képest
comparing	összehasonlítása
comparison	összehasonlítás
compatible	összeegyeztethető
compensation	kártérítés
compete	versenyez
competed	versenyeztek
competent	illetékes
competing	versengő
competition	verseny
competitions	versenyeken
competitive	kompetitív
competitors	versenytársak
compilation	összeállítás
compiled	összeállított
complain	panaszkodik
complained	panaszkodott
complaint	panasz
complaints	panaszok
complement	kiegészítés
completed	elkészült
completely	teljesen
completing	befejezése
completion	befejezése
complex	összetett
complexes	komplexek
complexity	bonyolultság
compliance	megfelelés
complicated	bonyolult
complications	szövődmények
comply	betartani
component	összetevő
components	alkatrészek
composed	összeállított
composer	Zeneszerző
composite	összetett
composition	fogalmazás
compositions	kompozíciók
compound	összetett
compounds	vegyületek
comprehensive	átfogó
compressed	összenyomva
compression	tömörítés
comprises	tartalmazza
comprising	amely magában foglalja
compromise	kompromisszum
computer	számítógép
computers	számítógépek
computing	számítástechnika
conceived	fogant
concentrate	sűrítmény
concentrated	sűrített
concentration	koncentráció
concentrations	koncentrációk
concept	koncepció
concepts	fogalmak
concern	vonatkozik
concerned	érintett
concerning	vonatkozó
concerns	aggodalmak
concert	koncert
concerts	koncertek
concluded	arra a következtetésre jutott
conclusion	következtetés
conclusions	következtetéseket
concrete	Konkrét
condemned	elítélt
condition	feltétel
conditioning	kondicionálás
conditions	körülmények
conduct	magatartás
conducted	végzett
conducting	vezető
cone	kúp
conference	konferencia
conferences	konferenciákon
confidence	bizalom
confident	magabiztos
configuration	konfigurációt
confirm	megerősít
confirmation	megerősítés
confirmed	megerősített
conflict	konfliktus
conflicts	konfliktusok
confuse	összezavarni
confused	zavaros
confusion	zavar
congenital	veleszületett
congress	Kongresszus
congressional	kongresszusi
conjunction	kötőszó
connect	csatlakozni
connected	csatlakoztatva
connecting	összekötő
connection	kapcsolat
connections	kapcsolatokat
connects	összeköt
conquered	meghódította
conquest	hódítás
conscience	lelkiismeret
conscious	tudatos
consciousness	öntudat
consecutive	egymást követő
consensus	konszenzus
consent	beleegyezés
consequence	következmény
consequences	következményei
conservation	Megőrzés
conservative	konzervatív
consider	fontolgat
considerable	figyelemre méltó
considerably	jelentősen
consideration	megfontolás
considered	figyelembe vett
considering	figyelembe véve
considers	úgy véli
consist	áll
consisted	állt
consistency	következetesség
consistent	következetes
consisting	álló
consists	áll
console	konzol
conspiracy	összeesküvés
constant	állandó
constantly	állandóan
constituency	választókerület
constitute	alkotják
constitution	alkotmány
constitutional	alkotmányos
construct	építeni
constructed	felépített
construction	Építkezés
consultation	konzultáció
consulting	tanácsadó
consume	fogyaszt
consumed	elfogyasztott
consumer	fogyasztó
consumers	fogyasztók
consuming	fogyasztó
consumption	fogyasztás
contact	kapcsolatba lépni
contacted	felvette a kapcsolatot
contacts	kapcsolatokat
contain	tartalmaz
contained	tartalmazott
container	tartály
containers	konténerek
containing	tartalmazó
contains	tartalmaz
contaminated	szennyezett
contamination	szennyeződés
contemporary	kortárs
content	tartalom
contents	tartalmat
contest	verseny
contested	vitatott
context	kontextus
continent	kontinens
continental	kontinentális
continuation	folytatás
continue	folytatni
continued	folytatta
continues	folytatja
continuing	folytatva
continuous	folyamatos
continuously	folyamatosan
contract	szerződés
contracted	szerződéses
contracts	szerződéseket
contrary	ellentétes
contrast	kontraszt
contribute	hozzájárul
contributed	hozzájárult
contributes	hozzájárul
contributing	hozzájárulva
contribution	hozzájárulás
contributions	hozzájárulások
control	ellenőrzés
controlled	ellenőrzött
controller	vezérlő
controlling	irányító
controls	vezérlők
controversial	vitatott
controversy	vita
convenient	kényelmes
convention	egyezmény
conventional	hagyományos
conversation	beszélgetés
conversations	beszélgetések
conversion	átalakítás
convert	alakítani
converted	átalakítva
convey	közvetíteni
convicted	elítélt
convince	meggyőzni
convinced	meggyőződve
cook	szakács
cooked	főtt
cookies	sütiket
cooking	főzés
cool	menő
cooled	lehűtött
cooling	hűtés
cooper	kádár
cooperation	együttműködés
coordinate	koordináta
coordination	koordináció
cope	megbirkózni
copies	másolatokat
copper	réz
copy	másolat
copyright	szerzői jog
coral	korall
cord	zsinór
core	mag
corn	kukorica
corner	sarok
corners	sarkok
coronavirus	koronavírus
corporate	társasági
corporation	vállalat
corporations	vállalatok
corps	hadtest
correct	helyes
correction	javítás
correctly	helyesen
correlation	korreláció
correspond	megfelelnek
corresponding	megfelelő
corresponds	megfelel
corridor	folyosó
corridor	folyosó
corrosion	korrózió
corrupt	korrupt
corruption	korrupció
cortex	kéreg
cosmetic	kozmetika
cosmic	kozmikus
cost	költség
costs	költségeket
costume	kosztüm
cottage	kunyhó
cotton	pamut
cough	köhögés
could	tudott
couldn	nem tudott
council	tanács
count	számol
counted	megszámolta
counter	számláló
counties	megyékben
counting	számolás
countless	számtalan
countries	országok
country	ország
countryside	vidéki táj
counts	számít
coup	puccs
couple	párosít
coupled	összekapcsolt
couples	párok
courage	bátorság
course	tanfolyam
courses	tanfolyamok
court	bíróság
courts	bíróságok
courtyard	udvar
cousin	unokatestvér
cousins	unokatestvérek
cover	borító
coverage	lefedettség
covered	fedett
covering	burkolat
covers	borítók
cow	tehén
cows	tehenek
crack	rés
craft	hajó
crane	daru
crash	összeomlik
crashed	lezuhant
crater	kráter
crazy	őrült
cream	krém
create	teremt
created	létre
creates	létrehozza
creating	létrehozása
creation	Teremtés
creative	kreatív
creativity	kreativitás
creator	Teremtő
creature	teremtmény
creatures	lények
credit	hitel
credited	jóváírva
credits	krediteket
creek	patak
crew	legénység
cricket	krikett
cried	kiáltott
crime	bűn
crimes	bűncselekmények
criminal	Bűnügyi
criminals	bűnözők
crisis	válság
criteria	kritériumok
critic	kritikus
critical	kritikai
criticism	kritika
criticized	kritizálta
critics	kritikusok
crop	Vág
